FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-19 04:29:47
  rpi3_64: 128 invocations (0.2%)
  nx_16: 265 invocations (0.4%)
  nx_20: 8 invocations (0.0%)
  rpi3_65: 119 invocations (0.2%)
  nano_41: 2 invocations (0.0%)
  rockpi_16: 335 invocations (0.5%)
  rpi3_25: 96 invocations (0.1%)
  rpi3_24: 108 invocations (0.2%)
  rpi3_26: 92 invocations (0.1%)
  nx_1: 83 invocations (0.1%)
  nx_15: 79 invocations (0.1%)
  rpi3_21: 284 invocations (0.4%)
  nx_10: 204 invocations (0.3%)
  nx_3: 52 invocations (0.1%)
  nx_19: 29 invocations (0.0%)
  nx_27: 77 invocations (0.1%)
  nx_21: 15 invocations (0.0%)
  nx_11: 9 invocations (0.0%)
  nano_36: 278 invocations (0.4%)
  nano_28: 276 invocations (0.4%)
  nano_7: 274 invocations (0.4%)
  nx_28: 278 invocations (0.4%)
  nano_11: 267 invocations (0.4%)
  nano_22: 263 invocations (0.4%)
  nx_23: 264 invocations (0.4%)
  rockpi_53: 324 invocations (0.5%)
  rpi3_22: 276 invocations (0.4%)
  rockpi_25: 314 invocations (0.5%)
  rpi3_23: 274 invocations (0.4%)
  rockpi_57: 305 invocations (0.5%)
  coral_10: 230 invocations (0.3%)
  rockpi_32: 279 invocations (0.4%)
  rpi3_19: 255 invocations (0.4%)
  rockpi_1: 268 invocations (0.4%)
  rpi3_18: 80 invocations (0.1%)
  rpi3_20: 239 invocations (0.4%)
  rockpi_31: 247 invocations (0.4%)
  rockpi_55: 234 invocations (0.3%)
  rpi3_42: 223 invocations (0.3%)
  rockpi_42: 221 invocations (0.3%)
  rockpi_72: 209 invocations (0.3%)
  rpi3_43: 209 invocations (0.3%)
  rockpi_38: 193 invocations (0.3%)
  rockpi_56: 179 invocations (0.3%)
  rpi3_44: 192 invocations (0.3%)
  rockpi_24: 166 invocations (0.2%)
  rpi3_57: 177 invocations (0.3%)
  rockpi_20: 153 invocations (0.2%)
  rpi3_58: 159 invocations (0.2%)
  rockpi_69: 141 invocations (0.2%)
  rpi3_59: 147 invocations (0.2%)
  rockpi_23: 131 invocations (0.2%)
  rpi3_54: 124 invocations (0.2%)
  rpi3_55: 104 invocations (0.2%)
  rockpi_4: 113 invocations (0.2%)
  rpi3_56: 90 invocations (0.1%)
  rockpi_46: 114 invocations (0.2%)
  rpi3_0: 77 invocations (0.1%)
  rockpi_7: 105 invocations (0.2%)
  rpi3_1: 65 invocations (0.1%)
  rockpi_63: 94 invocations (0.1%)
  rpi3_2: 60 invocations (0.1%)
  rpi3_9: 59 invocations (0.1%)
  rockpi_70: 78 invocations (0.1%)
  rpi3_10: 53 invocations (0.1%)
  rockpi_39: 70 invocations (0.1%)
  rockpi_47: 63 invocations (0.1%)
  rpi3_11: 51 invocations (0.1%)
  rpi3_69: 51 invocations (0.1%)
  rockpi_28: 49 invocations (0.1%)
  rockpi_45: 44 invocations (0.1%)
  rpi3_70: 44 invocations (0.1%)
  rockpi_3: 42 invocations (0.1%)
  rpi3_71: 42 invocations (0.1%)
  rockpi_40: 36 invocations (0.1%)
  rpi3_45: 42 invocations (0.1%)
  rockpi_30: 34 invocations (0.1%)
  nuc_0: 12 invocations (0.0%)
  rpi3_46: 41 invocations (0.1%)
  rockpi_27: 56 invocations (0.1%)
  rpi3_47: 40 invocations (0.1%)
  rpi3_33: 40 invocations (0.1%)
  nuc_1: 10 invocations (0.0%)
  rockpi_54: 30 invocations (0.0%)
  coral_2: 22 invocations (0.0%)
  rpi3_34: 34 invocations (0.1%)
  rockpi_37: 7 invocations (0.0%)
  coral_3: 22 invocations (0.0%)
  coral_4: 20 invocations (0.0%)
  rpi3_35: 32 invocations (0.0%)
  rpi3_66: 30 invocations (0.0%)
  rockpi_65: 2 invocations (0.0%)
  coral_5: 19 invocations (0.0%)
  rpi3_67: 12 invocations (0.0%)
  rpi3_68: 9 invocations (0.0%)
  rpi3_37: 16 invocations (0.0%)
  rpi3_36: 5 invocations (0.0%)
  rpi3_38: 2 invocations (0.0%)
  coral_6: 17 invocations (0.0%)
  rpi3_51: 2 invocations (0.0%)
  nano_14: 4 invocations (0.0%)
  nuc_2: 8 invocations (0.0%)
  rpi3_52: 1 invocations (0.0%)
  nuc_3: 5 invocations (0.0%)
  nano_30: 3 invocations (0.0%)
  nuc_4: 4 invocations (0.0%)
  nuc_5: 4 invocations (0.0%)
  nano_18: 2 invocations (0.0%)

Function Distribution:
  resnet50-inference: 25150 invocations (37.4%)
  python-pi: 31308 invocations (46.5%)
  speech-inference: 6210 invocations (9.2%)
  resnet50-preprocessing: 312 invocations (0.5%)
  fio: 4137 invocations (6.1%)
  resnet50-training: 218 invocations (0.3%)
Network Activity:
  Total transfers: 1177
  Total bytes transferred: 79483.99 MB
  Transfer duration: 16716.33 s

Network Flows:
  nano_14 → rockpi_16: 392.91 MB in 134.24 s
  nano_18 → rockpi_16: 196.46 MB in 85.55 s
  nano_30 → rockpi_16: 294.69 MB in 111.47 s
  nuc_0 → rockpi_16: 1178.74 MB in 597.95 s
  nuc_1 → rockpi_16: 982.28 MB in 451.04 s
  nuc_2 → rockpi_16: 785.83 MB in 320.91 s
  nuc_3 → rockpi_16: 491.14 MB in 196.98 s
  nuc_4 → rockpi_16: 392.91 MB in 154.81 s
  nuc_5 → rockpi_16: 392.91 MB in 164.62 s
  nx_0 → rockpi_16: 1178.74 MB in 230.29 s
  nx_1 → rockpi_16: 785.83 MB in 324.74 s
  nx_10 → rockpi_16: 785.83 MB in 337.55 s
  nx_11 → rockpi_16: 785.83 MB in 299.10 s
  nx_12 → rockpi_16: 1178.74 MB in 286.81 s
  nx_15 → rockpi_16: 785.83 MB in 333.06 s
  nx_16 → rockpi_16: 785.83 MB in 295.23 s
  nx_18 → rockpi_16: 884.06 MB in 228.14 s
  nx_19 → rockpi_16: 785.83 MB in 301.19 s
  nx_20 → rockpi_16: 392.91 MB in 238.00 s
  nx_21 → rockpi_16: 785.83 MB in 309.11 s
  nx_22 → rockpi_16: 1178.74 MB in 237.57 s
  nx_23 → rockpi_16: 491.14 MB in 137.10 s
  nx_26 → rockpi_16: 785.83 MB in 267.83 s
  nx_27 → rockpi_16: 785.83 MB in 310.48 s
  nx_28 → rockpi_16: 785.83 MB in 183.88 s
  nx_29 → rockpi_16: 1178.74 MB in 196.67 s
  nx_3 → rockpi_16: 785.83 MB in 331.02 s
  nx_5 → rockpi_16: 392.91 MB in 257.42 s
  nx_7 → rockpi_16: 785.83 MB in 220.73 s
  registry → coral_0: 38.15 MB in 0.33 s
  registry → coral_1: 59.13 MB in 0.51 s
  registry → coral_10: 80.11 MB in 0.69 s
  registry → coral_11: 38.15 MB in 0.33 s
  registry → coral_2: 80.11 MB in 0.70 s
  registry → coral_3: 80.11 MB in 0.70 s
  registry → coral_4: 80.11 MB in 0.70 s
  registry → coral_5: 80.11 MB in 0.70 s
  registry → coral_6: 80.11 MB in 0.70 s
  registry → nano_0: 95.37 MB in 0.83 s
  registry → nano_1: 95.37 MB in 0.83 s
  registry → nano_10: 95.37 MB in 0.83 s
  registry → nano_11: 190.73 MB in 1.65 s
  registry → nano_12: 95.37 MB in 0.83 s
  registry → nano_13: 95.37 MB in 0.83 s
  registry → nano_14: 95.37 MB in 0.83 s
  registry → nano_15: 95.37 MB in 0.83 s
  registry → nano_16: 95.37 MB in 0.83 s
  registry → nano_17: 95.37 MB in 0.83 s
  registry → nano_18: 95.37 MB in 0.83 s
  registry → nano_19: 95.37 MB in 0.83 s
  registry → nano_2: 95.37 MB in 0.83 s
  registry → nano_20: 190.73 MB in 1.65 s
  registry → nano_21: 95.37 MB in 0.83 s
  registry → nano_22: 190.73 MB in 1.65 s
  registry → nano_23: 95.37 MB in 0.83 s
  registry → nano_24: 95.37 MB in 0.83 s
  registry → nano_25: 95.37 MB in 0.83 s
  registry → nano_26: 95.37 MB in 0.83 s
  registry → nano_27: 95.37 MB in 0.83 s
  registry → nano_28: 190.73 MB in 1.65 s
  registry → nano_29: 95.37 MB in 0.83 s
  registry → nano_3: 95.37 MB in 0.83 s
  registry → nano_30: 95.37 MB in 0.83 s
  registry → nano_31: 95.37 MB in 0.83 s
  registry → nano_32: 95.37 MB in 0.83 s
  registry → nano_33: 95.37 MB in 0.83 s
  registry → nano_34: 95.37 MB in 0.83 s
  registry → nano_35: 95.37 MB in 0.83 s
  registry → nano_36: 190.73 MB in 1.65 s
  registry → nano_37: 95.37 MB in 0.83 s
  registry → nano_38: 95.37 MB in 0.83 s
  registry → nano_39: 95.37 MB in 0.83 s
  registry → nano_4: 95.37 MB in 0.83 s
  registry → nano_40: 95.37 MB in 0.83 s
  registry → nano_41: 190.73 MB in 1.65 s
  registry → nano_42: 95.37 MB in 0.83 s
  registry → nano_5: 95.37 MB in 0.83 s
  registry → nano_6: 95.37 MB in 0.83 s
  registry → nano_7: 190.73 MB in 1.66 s
  registry → nano_8: 190.73 MB in 1.66 s
  registry → nano_9: 95.37 MB in 0.83 s
  registry → nuc_0: 190.73 MB in 1.65 s
  registry → nuc_1: 190.73 MB in 1.65 s
  registry → nuc_2: 190.73 MB in 1.65 s
  registry → nuc_3: 190.73 MB in 1.65 s
  registry → nuc_4: 190.73 MB in 1.65 s
  registry → nuc_5: 190.73 MB in 1.65 s
  registry → nx_0: 154.50 MB in 1.34 s
  registry → nx_1: 133.51 MB in 1.16 s
  registry → nx_10: 154.50 MB in 1.34 s
  registry → nx_11: 154.50 MB in 1.41 s
  registry → nx_12: 154.50 MB in 1.34 s
  registry → nx_13: 154.50 MB in 1.34 s
  registry → nx_14: 133.51 MB in 1.16 s
  registry → nx_15: 133.51 MB in 1.16 s
  registry → nx_16: 154.50 MB in 1.34 s
  registry → nx_17: 192.64 MB in 1.67 s
  registry → nx_18: 192.64 MB in 1.67 s
  registry → nx_19: 192.64 MB in 1.69 s
  registry → nx_2: 154.50 MB in 1.34 s
  registry → nx_20: 190.73 MB in 1.65 s
  registry → nx_21: 192.64 MB in 1.69 s
  registry → nx_22: 154.50 MB in 1.34 s
  registry → nx_23: 190.73 MB in 1.65 s
  registry → nx_24: 154.50 MB in 1.34 s
  registry → nx_25: 154.50 MB in 1.34 s
  registry → nx_26: 133.51 MB in 1.16 s
  registry → nx_27: 154.50 MB in 1.36 s
  registry → nx_28: 190.73 MB in 1.65 s
  registry → nx_29: 133.51 MB in 1.16 s
  registry → nx_3: 133.51 MB in 1.16 s
  registry → nx_4: 133.51 MB in 1.16 s
  registry → nx_5: 190.73 MB in 1.65 s
  registry → nx_6: 133.51 MB in 1.16 s
  registry → nx_7: 154.50 MB in 1.34 s
  registry → nx_8: 192.64 MB in 1.67 s
  registry → nx_9: 154.50 MB in 1.34 s
  registry → rockpi_0: 97.27 MB in 0.85 s
  registry → rockpi_1: 97.27 MB in 0.85 s
  registry → rockpi_10: 97.27 MB in 0.85 s
  registry → rockpi_11: 97.27 MB in 0.85 s
  registry → rockpi_12: 97.27 MB in 1.64 s
  registry → rockpi_13: 59.13 MB in 0.51 s
  registry → rockpi_15: 97.27 MB in 1.66 s
  registry → rockpi_16: 97.27 MB in 9.87 s
  registry → rockpi_17: 97.27 MB in 1.65 s
  registry → rockpi_2: 97.27 MB in 0.85 s
  registry → rockpi_20: 97.27 MB in 0.85 s
  registry → rockpi_23: 97.27 MB in 0.85 s
  registry → rockpi_24: 97.27 MB in 0.85 s
  registry → rockpi_25: 97.27 MB in 1.54 s
  registry → rockpi_26: 97.27 MB in 0.85 s
  registry → rockpi_27: 59.13 MB in 0.51 s
  registry → rockpi_28: 97.27 MB in 1.49 s
  registry → rockpi_3: 97.27 MB in 0.85 s
  registry → rockpi_30: 97.27 MB in 0.85 s
  registry → rockpi_31: 97.27 MB in 1.49 s
  registry → rockpi_32: 97.27 MB in 0.85 s
  registry → rockpi_33: 59.13 MB in 0.51 s
  registry → rockpi_37: 59.13 MB in 0.51 s
  registry → rockpi_38: 97.27 MB in 0.85 s
  registry → rockpi_39: 97.27 MB in 1.50 s
  registry → rockpi_4: 97.27 MB in 1.49 s
  registry → rockpi_40: 97.27 MB in 0.85 s
  registry → rockpi_42: 97.27 MB in 1.50 s
  registry → rockpi_43: 97.27 MB in 0.85 s
  registry → rockpi_44: 97.27 MB in 0.85 s
  registry → rockpi_45: 97.27 MB in 0.85 s
  registry → rockpi_46: 97.27 MB in 1.50 s
  registry → rockpi_47: 97.27 MB in 1.49 s
  registry → rockpi_48: 97.27 MB in 0.85 s
  registry → rockpi_5: 97.27 MB in 0.85 s
  registry → rockpi_51: 97.27 MB in 0.85 s
  registry → rockpi_53: 97.27 MB in 1.52 s
  registry → rockpi_54: 59.13 MB in 0.51 s
  registry → rockpi_55: 97.27 MB in 1.50 s
  registry → rockpi_56: 97.27 MB in 0.85 s
  registry → rockpi_57: 97.27 MB in 1.51 s
  registry → rockpi_59: 220.30 MB in 2.95 s
  registry → rockpi_6: 59.13 MB in 0.51 s
  registry → rockpi_60: 97.27 MB in 1.68 s
  registry → rockpi_63: 97.27 MB in 0.85 s
  registry → rockpi_64: 97.27 MB in 0.85 s
  registry → rockpi_65: 97.27 MB in 0.85 s
  registry → rockpi_66: 97.27 MB in 1.65 s
  registry → rockpi_68: 97.27 MB in 0.85 s
  registry → rockpi_69: 97.27 MB in 0.85 s
  registry → rockpi_7: 97.27 MB in 1.49 s
  registry → rockpi_70: 97.27 MB in 1.49 s
  registry → rockpi_72: 97.27 MB in 1.50 s
  registry → rockpi_73: 97.27 MB in 0.85 s
  registry → rockpi_74: 97.27 MB in 1.50 s
  registry → rockpi_75: 97.27 MB in 1.66 s
  registry → rockpi_9: 97.27 MB in 1.63 s
  registry → rpi3_0: 85.83 MB in 0.75 s
  registry → rpi3_1: 85.83 MB in 0.75 s
  registry → rpi3_10: 85.83 MB in 0.75 s
  registry → rpi3_11: 85.83 MB in 0.75 s
  registry → rpi3_12: 19.07 MB in 0.17 s
  registry → rpi3_13: 19.07 MB in 0.17 s
  registry → rpi3_14: 19.07 MB in 0.17 s
  registry → rpi3_18: 19.07 MB in 0.17 s
  registry → rpi3_19: 85.83 MB in 0.76 s
  registry → rpi3_2: 85.83 MB in 0.75 s
  registry → rpi3_20: 85.83 MB in 0.76 s
  registry → rpi3_21: 85.83 MB in 0.76 s
  registry → rpi3_22: 85.83 MB in 0.78 s
  registry → rpi3_23: 85.83 MB in 0.79 s
  registry → rpi3_24: 19.07 MB in 0.17 s
  registry → rpi3_25: 85.83 MB in 0.76 s
  registry → rpi3_26: 85.83 MB in 0.76 s
  registry → rpi3_3: 19.07 MB in 0.17 s
  registry → rpi3_30: 19.07 MB in 0.17 s
  registry → rpi3_31: 19.07 MB in 0.17 s
  registry → rpi3_32: 19.07 MB in 0.17 s
  registry → rpi3_33: 19.07 MB in 0.17 s
  registry → rpi3_34: 85.83 MB in 0.75 s
  registry → rpi3_35: 85.83 MB in 0.75 s
  registry → rpi3_36: 85.83 MB in 0.75 s
  registry → rpi3_37: 85.83 MB in 0.75 s
  registry → rpi3_38: 85.83 MB in 0.75 s
  registry → rpi3_39: 19.07 MB in 0.17 s
  registry → rpi3_4: 19.07 MB in 0.17 s
  registry → rpi3_40: 19.07 MB in 0.17 s
  registry → rpi3_41: 52.45 MB in 0.46 s
  registry → rpi3_42: 85.83 MB in 0.76 s
  registry → rpi3_43: 85.83 MB in 0.76 s
  registry → rpi3_44: 85.83 MB in 0.75 s
  registry → rpi3_45: 85.83 MB in 0.75 s
  registry → rpi3_46: 85.83 MB in 0.75 s
  registry → rpi3_47: 85.83 MB in 0.75 s
  registry → rpi3_48: 19.07 MB in 0.17 s
  registry → rpi3_49: 52.45 MB in 0.46 s
  registry → rpi3_5: 50.54 MB in 0.44 s
  registry → rpi3_50: 19.07 MB in 0.17 s
  registry → rpi3_51: 85.83 MB in 0.75 s
  registry → rpi3_52: 85.83 MB in 0.75 s
  registry → rpi3_53: 85.83 MB in 0.75 s
  registry → rpi3_54: 85.83 MB in 0.75 s
  registry → rpi3_55: 85.83 MB in 0.75 s
  registry → rpi3_56: 85.83 MB in 0.75 s
  registry → rpi3_57: 85.83 MB in 0.75 s
  registry → rpi3_58: 85.83 MB in 0.75 s
  registry → rpi3_59: 85.83 MB in 0.75 s
  registry → rpi3_6: 19.07 MB in 0.17 s
  registry → rpi3_60: 66.76 MB in 0.58 s
  registry → rpi3_61: 66.76 MB in 0.58 s
  registry → rpi3_63: 19.07 MB in 0.17 s
  registry → rpi3_64: 19.07 MB in 0.17 s
  registry → rpi3_65: 19.07 MB in 0.17 s
  registry → rpi3_66: 85.83 MB in 0.75 s
  registry → rpi3_67: 85.83 MB in 0.75 s
  registry → rpi3_68: 85.83 MB in 0.75 s
  registry → rpi3_69: 19.07 MB in 0.17 s
  registry → rpi3_7: 19.07 MB in 0.17 s
  registry → rpi3_70: 85.83 MB in 0.75 s
  registry → rpi3_71: 85.83 MB in 0.75 s
  registry → rpi3_8: 19.07 MB in 0.17 s
  registry → rpi3_9: 85.83 MB in 0.75 s
  rockpi_16 → coral_0: 45.78 MB in 0.40 s
  rockpi_16 → coral_10: 98.23 MB in 5.83 s
  rockpi_16 → coral_11: 45.78 MB in 0.40 s
  rockpi_16 → coral_2: 98.23 MB in 74.07 s
  rockpi_16 → coral_3: 98.23 MB in 72.71 s
  rockpi_16 → coral_4: 98.23 MB in 70.61 s
  rockpi_16 → coral_5: 98.23 MB in 54.32 s
  rockpi_16 → coral_6: 98.23 MB in 51.26 s
  rockpi_16 → nano_0: 98.23 MB in 2.64 s
  rockpi_16 → nano_1: 98.23 MB in 1.88 s
  rockpi_16 → nano_10: 98.23 MB in 2.13 s
  rockpi_16 → nano_11: 319.48 MB in 28.79 s
  rockpi_16 → nano_12: 221.25 MB in 3.57 s
  rockpi_16 → nano_13: 98.23 MB in 2.86 s
  rockpi_16 → nano_14: 442.50 MB in 103.29 s
  rockpi_16 → nano_15: 98.23 MB in 2.28 s
  rockpi_16 → nano_16: 221.25 MB in 3.08 s
  rockpi_16 → nano_17: 221.25 MB in 4.23 s
  rockpi_16 → nano_18: 221.25 MB in 8.36 s
  rockpi_16 → nano_19: 98.23 MB in 5.92 s
  rockpi_16 → nano_2: 98.23 MB in 1.54 s
  rockpi_16 → nano_20: 319.48 MB in 16.68 s
  rockpi_16 → nano_21: 98.23 MB in 1.56 s
  rockpi_16 → nano_22: 319.48 MB in 28.53 s
  rockpi_16 → nano_23: 221.25 MB in 6.18 s
  rockpi_16 → nano_24: 98.23 MB in 2.73 s
  rockpi_16 → nano_25: 98.23 MB in 1.51 s
  rockpi_16 → nano_26: 98.23 MB in 1.43 s
  rockpi_16 → nano_27: 98.23 MB in 2.56 s
  rockpi_16 → nano_28: 319.48 MB in 13.25 s
  rockpi_16 → nano_29: 98.23 MB in 2.92 s
  rockpi_16 → nano_3: 221.25 MB in 2.80 s
  rockpi_16 → nano_30: 387.19 MB in 80.88 s
  rockpi_16 → nano_31: 98.23 MB in 2.56 s
  rockpi_16 → nano_32: 98.23 MB in 2.83 s
  rockpi_16 → nano_33: 98.23 MB in 2.27 s
  rockpi_16 → nano_34: 98.23 MB in 2.30 s
  rockpi_16 → nano_35: 221.25 MB in 2.75 s
  rockpi_16 → nano_36: 319.48 MB in 14.15 s
  rockpi_16 → nano_37: 221.25 MB in 5.39 s
  rockpi_16 → nano_38: 221.25 MB in 9.01 s
  rockpi_16 → nano_39: 98.23 MB in 2.60 s
  rockpi_16 → nano_4: 98.23 MB in 1.29 s
  rockpi_16 → nano_40: 221.25 MB in 6.73 s
  rockpi_16 → nano_41: 319.48 MB in 18.70 s
  rockpi_16 → nano_42: 98.23 MB in 2.10 s
  rockpi_16 → nano_5: 221.25 MB in 2.37 s
  rockpi_16 → nano_6: 98.23 MB in 4.76 s
  rockpi_16 → nano_7: 319.48 MB in 6.53 s
  rockpi_16 → nano_8: 319.48 MB in 7.36 s
  rockpi_16 → nano_9: 98.23 MB in 2.32 s
  rockpi_16 → nuc_0: 1327.51 MB in 426.74 s
  rockpi_16 → nuc_1: 1216.89 MB in 435.75 s
  rockpi_16 → nuc_2: 1106.26 MB in 442.45 s
  rockpi_16 → nuc_3: 1106.26 MB in 478.99 s
  rockpi_16 → nuc_4: 1106.26 MB in 516.28 s
  rockpi_16 → nuc_5: 1106.26 MB in 542.22 s
  rockpi_16 → nx_0: 885.01 MB in 186.82 s
  rockpi_16 → nx_1: 709.53 MB in 198.06 s
  rockpi_16 → nx_10: 663.76 MB in 164.83 s
  rockpi_16 → nx_11: 663.76 MB in 100.37 s
  rockpi_16 → nx_12: 885.01 MB in 207.35 s
  rockpi_16 → nx_13: 98.23 MB in 2.68 s
  rockpi_16 → nx_14: 144.00 MB in 1.57 s
  rockpi_16 → nx_15: 709.53 MB in 184.51 s
  rockpi_16 → nx_16: 663.76 MB in 208.23 s
  rockpi_16 → nx_17: 144.00 MB in 3.21 s
  rockpi_16 → nx_18: 709.53 MB in 186.38 s
  rockpi_16 → nx_19: 709.53 MB in 174.61 s
  rockpi_16 → nx_2: 98.23 MB in 2.45 s
  rockpi_16 → nx_20: 540.73 MB in 83.29 s
  rockpi_16 → nx_21: 709.53 MB in 149.81 s
  rockpi_16 → nx_22: 885.01 MB in 102.59 s
  rockpi_16 → nx_23: 374.79 MB in 49.61 s
  rockpi_16 → nx_24: 98.23 MB in 2.53 s
  rockpi_16 → nx_25: 98.23 MB in 2.85 s
  rockpi_16 → nx_26: 801.09 MB in 225.85 s
  rockpi_16 → nx_27: 663.76 MB in 128.12 s
  rockpi_16 → nx_28: 761.99 MB in 119.38 s
  rockpi_16 → nx_29: 930.79 MB in 125.19 s
  rockpi_16 → nx_3: 709.53 MB in 173.39 s
  rockpi_16 → nx_4: 144.00 MB in 3.23 s
  rockpi_16 → nx_5: 540.73 MB in 87.29 s
  rockpi_16 → nx_6: 144.00 MB in 3.12 s
  rockpi_16 → nx_7: 663.76 MB in 217.77 s
  rockpi_16 → nx_8: 144.00 MB in 2.99 s
  rockpi_16 → nx_9: 98.23 MB in 2.87 s
  rockpi_16 → rockpi_0: 45.78 MB in 0.40 s
  rockpi_16 → rockpi_1: 45.78 MB in 9.57 s
  rockpi_16 → rockpi_10: 45.78 MB in 0.40 s
  rockpi_16 → rockpi_11: 45.78 MB in 0.40 s
  rockpi_16 → rockpi_12: 45.78 MB in 1.56 s
  rockpi_16 → rockpi_15: 45.78 MB in 1.53 s
  rockpi_16 → rockpi_17: 45.78 MB in 1.49 s
  rockpi_16 → rockpi_2: 45.78 MB in 0.40 s
  rockpi_16 → rockpi_20: 45.78 MB in 31.88 s
  rockpi_16 → rockpi_23: 45.78 MB in 34.81 s
  rockpi_16 → rockpi_24: 45.78 MB in 28.86 s
  rockpi_16 → rockpi_25: 45.78 MB in 1.96 s
  rockpi_16 → rockpi_26: 45.78 MB in 0.40 s
  rockpi_16 → rockpi_28: 45.78 MB in 32.50 s
  rockpi_16 → rockpi_3: 45.78 MB in 29.48 s
  rockpi_16 → rockpi_30: 45.78 MB in 25.80 s
  rockpi_16 → rockpi_31: 45.78 MB in 10.10 s
  rockpi_16 → rockpi_32: 45.78 MB in 9.44 s
  rockpi_16 → rockpi_38: 45.78 MB in 20.41 s
  rockpi_16 → rockpi_39: 45.78 MB in 35.24 s
  rockpi_16 → rockpi_4: 45.78 MB in 35.29 s
  rockpi_16 → rockpi_40: 45.78 MB in 27.06 s
  rockpi_16 → rockpi_42: 45.78 MB in 14.82 s
  rockpi_16 → rockpi_43: 45.78 MB in 0.40 s
  rockpi_16 → rockpi_44: 45.78 MB in 0.40 s
  rockpi_16 → rockpi_45: 45.78 MB in 30.56 s
  rockpi_16 → rockpi_46: 45.78 MB in 36.96 s
  rockpi_16 → rockpi_47: 45.78 MB in 34.18 s
  rockpi_16 → rockpi_48: 45.78 MB in 1.16 s
  rockpi_16 → rockpi_5: 45.78 MB in 1.44 s
  rockpi_16 → rockpi_51: 45.78 MB in 0.40 s
  rockpi_16 → rockpi_53: 45.78 MB in 2.40 s
